year,month,MKT,REG,PEAD,HMLM,STR,ILR,SMB,EPRD
1984,4,-0.0051,0.024198,0.0148,-0.001867037,0.0161,-0.038993,-0.0096,0.019514
1984,5,-0.0597,0.017731,-0.0064,0.004169943,0.0081,-0.008086,0.0014,0.035732
1984,6,0.0182,0.006613,6.00E-04,-0.028365248,0.0096,0.039782,0.001,0.049884
1984,7,-0.0274,0.0297,0.0016,0.00664918,-0.0147,0.100022,-0.0222,0.017978
1984,8,0.1028,0.000264,-0.027,-0.000269533,0.0729,-0.041913,-0.0026,-0.025551
1984,9,-0.008,0.01184,0.0084,0.047160769,0.0428,-0.078094,-3.00E-04,-0.039654
1984,10,-0.0084,0.018111,0.0072,0.004194249,-0.0121,0.030391,-0.0144,0.031971
1984,11,-0.0176,0.016373,0.0155,0.036495401,-0.0067,-0.002673,-0.0101,0.010732
1984,12,0.0184,0.013006,0.0042,-0.005364369,0.008,-0.016725,-0.0065,-0.01243
1985,1,0.0799,-0.016525,-0.0135,-0.025653322,0.0232,-0.02398,0.035,0.004966
1985,2,0.0122,0.022437,0.0022,-0.005833133,0.025,-0.019931,0.0104,0.027229
1985,3,-0.0084,0.020324,-0.0036,0.031596567,-0.0137,0.020695,-0.0139,0.030344
1985,4,-0.0096,0.018021,0.0083,0.022263726,-0.0246,0.03644,-0.001,0.016208
1985,5,0.0509,0.015286,0.0013,-0.013708247,-0.0054,0.020247,-0.0231,0.021666
1985,6,0.0127,0.016833,0.0135,-0.009909048,-0.0067,0.02839,0.0035,0.012734
1985,7,-0.0074,0.013406,-0.0041,-0.005880444,0.0362,-0.08286,0.0287,0.005114
1985,8,-0.0102,0.010419,0.002,0.017656363,0.0177,-0.025481,-0.0029,0.011202
1985,9,-0.0454,0.017479,0.0138,0.007385396,-0.0185,0.052129,-0.018,-0.006203
1985,10,0.0402,0.028931,0.0051,-0.003853446,0.0066,0.071666,-0.0149,0.049061
1985,11,0.0648,-0.009268,-0.0148,-0.023367799,0.0241,-0.02229,2.00E-04,0.016941
1985,12,0.0388,-0.009284,0.0058,-0.011278325,-0.0034,0.018122,-0.004,0.001599
1986,1,0.0065,0.017818,0.0151,-0.006387411,0.0084,0.012308,0.01,0.029285
1986,2,0.0713,0.008424,0.0225,-0.022152844,-0.0169,0.057704,-0.0071,0.015828
1986,3,0.0488,0.017081,0.0025,-0.006542036,-7.00E-04,0.021345,-0.0065,0.034698
1986,4,-0.0131,0.000184,0.0094,-0.029710314,0.0282,-0.012574,0.0286,0.035926
1986,5,0.0462,0.009818,0.0092,-0.003206624,0.0105,-0.003101,-0.0129,0.051357
1986,6,0.0103,0.008818,0.0259,-0.011754138,-0.0248,0.026072,-0.0088,0.060183
1986,7,-0.0645,0.027937,0.0081,0.033622813,-0.0288,-0.006098,-0.0345,0.03788
1986,8,0.0607,0.016055,-0.001,0.058376357,0.0114,0.036651,-0.0435,-0.038531
1986,9,-0.086,-0.003482,-0.0155,0.05158061,-0.0031,0.063203,0.0205,-0.091147
1986,10,0.0466,0.006012,0.0462,-0.014412806,0.0358,-0.092079,-0.0233,0.031703
1986,11,0.0117,0.037262,0.0076,0.003334255,0.0071,0.002599,-0.0189,-0.00945
1986,12,-0.0327,0.016509,0.0091,-0.000257441,0.0061,0.007024,0.0012,0.047255
1987,1,0.1247,0.028709,0.0423,-0.022308799,0.0031,0.021303,-0.0154,0.064933
1987,2,0.0439,-0.010583,-0.0023,-0.050713936,-0.0111,-0.010224,0.034,0.050998
1987,3,0.0164,0.013212,-0.0107,0.017778098,0.0181,0.051829,0.0027,-0.036895
1987,4,-0.0211,0.005546,0.0139,0.005743356,-0.019,0.053883,-0.0154,-0.072698
1987,5,0.0011,-0.001604,0.0034,0.014837182,-0.003,-0.014981,-0.0056,-0.009557
1987,6,0.0394,-0.001725,-0.0081,0.011253223,1.00E-04,-0.033088,-0.0221,0.030135
1987,7,0.0385,-0.006461,-0.0028,-0.00558887,-0.0025,-0.009913,-0.0112,-0.065743
1987,8,0.0352,0.0247,-0.0036,-0.005481284,0.0245,-0.070802,-0.0095,0.02407
1987,9,-0.0259,0.018371,0.0249,-0.001449372,-0.004,-0.016349,0.004,-0.005994
1987,10,-0.2324,0.025122,-0.0062,0.08482116,-0.0013,-0.024361,-0.0805,0.052776
1987,11,-0.0777,0.009005,-0.0081,0.020712827,-0.0087,-0.007234,0.0287,-0.026626
1987,12,0.0681,0.015001,-0.018,-0.042756745,0.058,-0.079537,6.00E-04,0.008297
1988,1,0.0421,-0.017613,0.0334,0.084218372,0.0793,-0.052687,-0.0053,-0.026796
1988,2,0.0475,-0.005611,-0.0101,-0.010896032,0.0436,-0.061773,0.0331,-0.012164
1988,3,-0.0227,-0.020542,0.0315,-0.000251392,-0.0084,0.019977,0.0624,0.003548
1988,4,0.0056,0.008805,0.007,0.004968182,0.0023,0.010989,0.0115,-0.041404
1988,5,-0.0029,0.012654,0.0027,0.022602824,0.0065,0.01441,-0.0257,-0.015196
1988,6,0.0479,0.01827,0.0075,-0.003228829,0.0187,-0.021529,0.0214,-0.012516
1988,7,-0.0125,0.000362,0.0106,0.020817301,0.0336,-0.027467,-0.0021,0.006899
1988,8,-0.0331,-0.003743,0.0207,0.016331178,-0.0193,0.052589,-3.00E-04,0.031282
1988,9,0.033,0.008003,-6.00E-04,-0.008120437,-0.0012,0.029707,-0.0135,0.037534
1988,10,0.0115,0.006658,0.01,0.015735624,-0.01,0.001037,-0.0295,-0.035873
1988,11,-0.0229,0.003857,0.0107,0.009445612,-0.0067,0.015935,-0.0165,-0.023217
1988,12,0.0149,0.003588,-0.0123,-0.013083657,0.0229,-0.001139,0.0202,0.015063
1989,1,0.061,0.015755,0.0016,0.007375357,0.0097,0.004364,-0.0231,-0.0095
1989,2,-0.0225,-0.001775,-0.0025,0.007717,0.0107,-0.00576,0.0271,0.009469
1989,3,0.0157,0.007625,0.0137,-0.006732229,-0.0089,0.029473,0.0068,0.025157
1989,4,0.0433,-0.002366,0.0147,-0.021756729,-0.0065,0.032885,-0.0078,0.019005
1989,5,0.0335,0.004101,0.0198,-0.018209906,-0.0274,0.03327,0,0.02998
1989,6,-0.0135,-0.00945,-0.0067,0.03139966,0.023,-0.002287,-0.0109,-0.002304
1989,7,0.072,0.02513,0.0335,-0.033203511,0.0145,0.016847,-0.0417,0.038297
1989,8,0.0144,0.001417,0.0027,0.005142042,0.0185,-0.065487,0.0048,-0.03821
1989,9,-0.0076,0.019521,5.00E-04,-0.021001908,0.0117,-0.031466,0.0049,0.002495
1989,10,-0.0367,0.023565,0,-0.016617501,-0.0432,0.0393,-0.0332,0.043155
1989,11,0.0103,-0.006157,0.0072,-0.017825662,-0.0175,0.051944,-0.0129,0.014967
1989,12,0.0116,0.024412,0.014,-0.00479436,-0.0256,-0.004765,-0.0228,-0.011239
1990,1,-0.0785,-0.002233,0.0015,0.016489255,0.0102,-0.00067,-0.0132,-0.000377
1990,2,0.0111,0.000922,0.0149,-0.008891584,0.0049,0.038835,0.0115,-0.055482
1990,3,0.0183,0.016764,0.0095,-0.032441943,0.0017,0.005157,0.0158,0.013481
1990,4,-0.0336,0.005974,0.0095,-0.035854408,-0.0182,0.043396,-0.0032,0.05683
1990,5,0.0842,0.026182,0.0175,-0.043486836,-0.0035,-0.013869,-0.0237,0.043657
1990,6,-0.0109,-0.002247,0.0126,-0.019421233,-0.0022,0.025403,0.0131,0.075136
1990,7,-0.019,0.000433,0.0124,-0.003130435,-0.007,-0.030263,-0.0314,0.003364
1990,8,-0.1015,0.012578,0.0221,0.011076417,-0.0365,0.066088,-0.0386,0.00862
