This file was created by CMPT_ME_PRIOR_RETS using the 202212 CRSP database.  It,,
contains a momentum factor, constructed from six value-weight portfolios formed,
using independent sorts on size and prior return of NYSE, AMEX, and NASDAQ stocks.
ST_Rev is the average of the returns on two (big and small) low prior return portfolios,,
minus the average of the returns on two high prior return portfolios.  The portfolios,,
are constructed monthly.  Big means a firm is above the median market cap on the NYSE,,
at the end of the previous month; small firms are below the median NYSE market cap.,,
Prior return is measured from month - 1 to - 1.  Firms in the low prior return,,
portfolio are below the 30th NYSE percentile.  Those in the high portfolio are above,,
the 70th NYSE percentile.,,
,,
Missing data are indicated by -99.99 or -999.,,
,,
,ST_Rev,
199510,-1.02,-0.0102
199511,0.6,0.006
199512,-0.98,-0.0098
199601,1,0.01
199602,2.17,0.0217
199603,-0.11,-0.0011
199604,0.69,0.0069
199605,-1.07,-0.0107
199606,-0.18,-0.0018
199607,-2.44,-0.0244
199608,2.55,0.0255
199609,0.54,0.0054
199610,-1.12,-0.0112
199611,0.21,0.0021
199612,0.64,0.0064
199701,2.62,0.0262
199702,1.25,0.0125
199703,0.88,0.0088
199704,2.43,0.0243
199705,2.87,0.0287
199706,0.73,0.0073
199707,3.87,0.0387
199708,-0.16,-0.0016
199709,1.7,0.017
199710,-0.96,-0.0096
199711,-2.01,-0.0201
199712,-2.91,-0.0291
199801,5.02,0.0502
199802,1.92,0.0192
199803,1.84,0.0184
199804,1.7,0.017
199805,0.74,0.0074
199806,-1.44,-0.0144
199807,-2.02,-0.0202
199808,-2.66,-0.0266
199809,2.75,0.0275
199810,9.85,0.0985
199811,1.32,0.0132
199812,-1.63,-0.0163
199901,-2.32,-0.0232
199902,2.46,0.0246
199903,0.21,0.0021
199904,2.37,0.0237
199905,1.21,0.0121
199906,1.7,0.017
199907,1.54,0.0154
199908,-3.39,-0.0339
199909,-0.61,-0.0061
199910,-1.49,-0.0149
199911,0.43,0.0043
199912,-14.01,-0.1401
200001,2.61,0.0261
200002,-13.47,-0.1347
200003,9.89,0.0989
200004,-2.18,-0.0218
200005,-8.89,-0.0889
200006,12.39,0.1239
200007,6.51,0.0651
200008,0.54,0.0054
200009,2.64,0.0264
200010,-4.8,-0.048
200011,-14.63,-0.1463
200012,-6.88,-0.0688
200101,16.21,0.1621
200102,12.19,0.1219
200103,-7.54,-0.0754
200104,9.87,0.0987
200105,3.8,0.038
200106,0.6,0.006
200107,1.38,0.0138
200108,-3.9,-0.039
200109,-4.96,-0.0496
200110,14.84,0.1484
